,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,Remotenss,Trade Flow
0,2SICIL,AUTHUN,,0,0,,8370661796,3605.399902,837.0661796,0,20161036
1,2SICIL,BEL,,0,0,,13496824298,1077.427124,1349.68243,0,27622200
2,2SICIL,CHL,,0,0,,1.20E+11,2627.580078,11978.67248,0,47486092
3,2SICIL,ESP,,0,0,,15148527637,2319.700684,1514.852764,0,19973822
4,2SICIL,FRA,,0,0,,12917940853,305.6333313,1291.794085,0,13532721
5,2SICIL,GBR,,0,0,216131952,16173947966,27249,1617.394797,0,88293296
6,2SICIL,GBRIND,,0,0,,57886174105,3652,5788.61741,0,203597424
7,2SICIL,GRC,,0,0,,8730551166,1476.599976,873.0551166,0,377460000
8,2SICIL,NLD,,0,0,,14652114322,1406.43335,1465.211432,0,394534080
9,2SICIL,PRT,,0,0,,20067769168,573.7333374,2006.776917,0,360519936
10,2SICIL,TUN,,0,0,,5713401012,3990.899902,571.3401012,0,482131104
11,2SICIL,USA,,0,0,,82736201901,400.5333252,8273.62019,0,552172480
12,ABW,AFG,13168.22376,0,0,,1.32E+11,2260.033447,13240.409,16100000,380520608
13,ABW,AGO,9587.315563,0,0,39475852,94991276935,2561,9499.127693,16300000,547703872
14,ABW,ALB,9091.575727,0,0,,90805461159,223.8600006,9080.546116,16200000,1273256832
15,ABW,ANT,239.9063803,1,0,,1279712446,102.3000031,127.9712446,30300000,891804032
16,ABW,ARE,12773.07971,0,0,11253629,1.27E+11,903.8070068,12714.92871,16200000,647098368
17,ABW,ARG,5187.78757,0,0,,53831212352,666.0666504,5383.121235,15600000,822447936
18,ABW,ARM,11106.95838,0,0,,1.11E+11,9430,11096.85625,16200000,1361385600
19,ABW,ATG,1011.00265,1,0,,10175024823,71.8666687,1017.502482,16100000,2203138560
20,ABW,AUS,15670.45895,1,0,1500000,1.52E+11,328,15223.60116,16600000,2282002688
21,ABW,AUT,8632.970803,0,0,,87090358090,3486,8709.035809,16000000,2205242368
22,ABW,AZE,11421.97885,0,0,,1.15E+11,773.166687,11488.46031,16100000,2995200512
23,ABW,BDI,11138.7448,0,0,,1.11E+11,214967.2969,11107.97135,16200000,1363619712
24,ABW,BEL,7843.255154,1,0,,78380701308,1371.300049,7838.070131,16200000,184813056
25,ABW,BEN,7915.637507,0,0,,79583065838,23.03333282,7958.306584,16100000,2671828992
26,ABW,BFA,7348.568278,0,0,,74145180151,59194.83203,7414.518015,16000000,1016810624
27,ABW,BGD,15486.15953,0,0,,1.55E+11,509.8999939,15458.81113,16200000,436170240
28,ABW,BGR,9471.462071,0,0,,93372193100,3409.780029,9337.21931,16400000,382765856
29,ABW,BHR,12296.98976,0,0,,1.23E+11,859.4000244,12286.87701,16200000,2825000
30,ABW,BHS,1634.515002,1,0,410018720,15916475363,32727,1591.647536,16600000,3192000
31,ABW,BIH,8888.420461,0,0,,89198329954,5311.892578,8919.832995,16100000,3286413
32,ABW,BLR,9417.682534,0,0,,93703133717,2046.666626,9370.313372,16300000,3343720
33,ABW,BLZ,2062.071408,1,0,18923410,20253267536,2816,2025.326754,16500000,3921109
34,ABW,BMU,2275.43243,1,0,,22631816650,4382.833496,2263.181665,16300000,4549264
35,ABW,BOL,3366.75844,0,0,,32334327726,2465,3233.432773,16800000,4161043
36,ABW,BRA,4431.571175,0,0,,47501978792,451.7000122,4750.197879,15100000,3283479
37,ABW,BRB,1127.651754,1,0,,11320295078,7107.779785,1132.029508,16100000,3521167
38,ABW,BRN,18042.74867,0,0,,1.80E+11,6819.700195,18002.5569,16200000,4675769
39,ABW,BWA,11178.82604,1,0,,1.12E+11,1161.180054,11176.09335,16200000,3756640
40,ABW,CAF,9729.200739,0,0,388485408,97530125307,23275,9753.012531,16100000,4619425
41,ABW,CAN,4316.013141,1,0,,36968702478,31230.50195,3696.870248,18900000,10015833
42,ABW,CHE,8074.210134,0,0,,81309490657,7612,8130.949066,16100000,8656423
43,ABW,CHL,5093.852148,0,0,,51119554311,2125.580078,5111.955431,16100000,5194800
44,ABW,CHN,14590.92433,0,0,,1.50E+11,21103,15000.15364,15700000,4512430
45,ABW,CIV,7194.49568,0,0,,72784138384,400390.5313,7278.413838,16000000,4620693
46,ABW,CMR,8947.10412,1,0,,89990270628,343.7000122,8999.027063,16100000,4930364
47,ABW,COD,10139.7734,0,0,,96096529454,6837.833496,9609.652945,17100000,4635728
48,ABW,COG,9476.891102,0,0,,96031624871,654.5,9603.162487,16000000,4431332
49,ABW,COL,929.5887088,0,0,,9853410009,352.1600037,985.3410009,15300000,5011270
50,ABW,COM,12838.99854,0,0,,1.28E+11,2125,12782.828,16200000,4833715
51,ABW,CPV,4961.886208,0,0,,50244547340,2841.179932,5024.454734,16000000,4016296
52,ABW,CRI,1572.262919,0,0,,15584553084,6764.899902,1558.455308,16300000,2883900
53,ABW,CUB,1485.847517,0,0,9095833,17589958117,1255,1758.995812,13700000,2476657
54,ABW,CUW,,1,0,,1279712446,1163.93335,127.9712446,0,2609000
55,ABW,CYP,10398.70097,0,0,,1.04E+11,917.1400146,10390.97991,16200000,2635000
56,ABW,CZE,8638.35465,0,0,,85499407322,11026.59961,8549.940732,16300000,2452000
57,ABW,CZSK,,0,0,7095988,85499407322,1079,8549.940732,0,3447000
58,ABW,DEU,8231.708192,0,0,,84629139882,100,8462.913988,15700000,3234000
59,ABW,DJI,12175.09079,0,0,,1.22E+11,1447.266724,12172.02592,16200000,3543000
60,ABW,DMA,984.1060054,1,0,,9832682831,4796.833496,983.2682831,16200000,3220000
61,ABW,DNK,8331.91737,0,0,,83986161998,64.66666412,8398.6162,16000000,2837000
62,ABW,DOM,699.2701453,0,0,,6614160248,18995.80078,661.4160248,17100000,2436000
63,ABW,DZA,7710.016822,0,0,,76948962230,191.3000031,7694.896223,16200000,2785000
64,ABW,ECU,1873.770441,0,0,,16987654647,2841.179932,1698.765465,17800000,5357000
65,ABW,EDEU,,0,0,,84629139882,185.1666718,8462.913988,0,6846000
66,ABW,EGY,10362.26581,1,0,,1.04E+11,4593.700195,10369.64738,16200000,5593000
67,ABW,ESP,7186.835199,0,0,93986280,71113517620,12784,7111.351762,16300000,6300000
68,ABW,EST,9140.628731,0,0,,90780349396,4368.240234,9078.03494,16300000,7200000
69,ABW,ETH,11800.58829,0,0,,1.18E+11,212.6000061,11791.16523,16200000,12000000
70,ABW,FIN,9056.373468,0,0,,90744380737,1841.169678,9074.438074,16100000,13000000
71,ABW,FJI,12718.23779,1,0,185581600,1.27E+11,12250.90527,12684.11434,16200000,30000000
72,ABW,FLK,7245.113194,1,0,,72359591601,625.8599854,7235.95916,16200000,39000000
73,ABW,FRA,7716.751837,0,0,,76778252204,560.793335,7677.82522,16300000,45000000
74,ABW,FRO,7411.007625,0,0,,74032935535,1063.099976,7403.293553,16200000,46000000
75,ABW,GAB,8929.760926,0,0,,88571222177,10314.66016,8857.122218,16300000,41000000
76,ABW,GBR,7480.796475,1,0,,75353271030,2065,7535.327103,16100000,45000000
77,ABW,GEO,10965.28105,0,0,,1.10E+11,324.8599854,11041.87253,16100000,63000000
78,ABW,GHA,7620.655882,1,0,,96599632932,72.96666718,9659.963293,12800000,65000000
79,ABW,GIB,6930.323545,1,0,,69271060682,31.5,6927.106068,16200000,66000000
80,ABW,GIN,6247.763074,0,0,,61499028608,275.5333252,6149.902861,16400000,65000000
81,ABW,GLP,999.6448754,0,0,,9748070565,1310,974.8070565,16600000,63000000
82,ABW,GMB,5805.389842,1,0,,57816949482,2511.06665,5781.694948,16200000,64642884
83,ABW,GNB,5917.131878,0,0,39217220,59099480985,3432,5909.948099,16200000,69642888
84,ABW,GNQ,8801.053465,0,0,,87037722562,1689.579956,8703.772256,16400000,68571456
85,ABW,GRC,9457.369695,0,0,,94783431509,5143.299805,9478.343151,16100000,21464296
86,ABW,GRD,902.1114632,1,0,,9018441881,740.5666504,901.8441881,16200000,29228584
87,ABW,GRL,6174.272165,0,0,,59167263857,36.06666565,5916.726386,16900000,17392864
88,ABW,GTM,2252.725525,0,0,,22271168030,1173.06665,2227.116803,16400000,21535724
89,ABW,GUF,2061.801391,0,0,,21194091709,2130.52002,2119.409171,15700000,23857154
90,ABW,GUY,1463.903271,1,0,,14477012903,2053.333252,1447.70129,16400000,19071436
91,ABW,HKG,16132.21411,1,0,9418920,1.61E+11,1265,16118.85133,16200000,21035724
92,ABW,HND,1921.080462,0,0,,18668374039,5234.200195,1866.837404,16600000,26714298
93,ABW,HRV,8740.688607,0,0,,87073626651,2130,8707.362665,16200000,25321440
94,ABW,HTI,741.588724,0,0,,7125324735,1326,712.5324735,16800000,25035726
95,ABW,HUN,8940.499546,0,0,,89173121251,759.9333496,8917.312125,16200000,29821442
96,ABW,IDN,19054.8475,0,0,,1.92E+11,279.4666748,19232.31305,16000000,24046172
97,ABW,IND,14750.65835,1,0,,1.46E+11,1376.199951,14646.39729,16300000,35875028
98,ABW,IRL,7123.465476,1,0,,71657667879,2270.466553,7165.766788,16100000,34118360
99,ABW,IRN,11939.98329,0,0,,1.19E+11,403240.0313,11864.05977,16300000,35246280
100,ABW,IRQ,11443.27222,0,0,,1.14E+11,351.7999878,11408.23759,16200000,41050908
101,ABW,ISL,6857.101181,0,0,,68217969751,2558.93335,6821.796975,16300000,49876036
102,ABW,ISR,10642.41798,1,0,,1.06E+11,75.53333282,10623.48721,16200000,64905720
103,ABW,ITA,8427.789375,0,0,,84690826784,100,8469.082678,16100000,98619152
104,ABW,JAM,977.9513464,1,0,,93757822595,3504,9375.782259,1690000,101646384
