,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f
13,ABW,AGO,9587.315563,0,0,39475852.0,94991276935.0,2561.0,9499.127693,547703872.0,16300000.0
16,ABW,ARE,12773.07971,0,0,11253629.0,127000000000.0,903.8070068,12714.92871,647098368.0,16200000.0
20,ABW,AUS,15670.45895,1,0,1500000.0,152000000000.0,328.0,15223.60116,2282002688.0,16600000.0
30,ABW,BHS,1634.5150019999999,1,0,410018720.0,15916475363.0,32727.0,1591.647536,3192000.0,16600000.0
33,ABW,BLZ,2062.071408,1,0,18923410.0,20253267536.0,2816.0,2025.326754,3921109.0,16500000.0
40,ABW,CAF,9729.200739,0,0,388485408.0,97530125307.0,23275.0,9753.012531,4619425.0,16100000.0
53,ABW,CUB,1485.847517,0,0,9095833.0,17589958117.0,1255.0,1758.9958120000001,2476657.0,13700000.0
67,ABW,ESP,7186.835198999999,0,0,93986280.0,71113517620.0,12784.0,7111.351762,6300000.0,16300000.0
71,ABW,FJI,12718.237790000001,1,0,185581600.0,127000000000.0,12250.905270000001,12684.11434,30000000.0,16200000.0
83,ABW,GNB,5917.131878,0,0,39217220.0,59099480985.0,3432.0,5909.948099,69642888.0,16200000.0
91,ABW,HKG,16132.214109999999,1,0,9418920.0,161000000000.0,1265.0,16118.851330000001,21035724.0,16200000.0
108,ABW,KEN,11902.33997,1,0,386408256.0,119000000000.0,23560.0,11867.54731,205405824.0,16200000.0
116,ABW,LBR,6573.055802000001,1,0,413936128.0,65223959299.0,32917.0,6522.39593,313306624.0,16300000.0
124,ABW,MAR,6777.4308120000005,0,0,97653640.0,67005366098.0,12869.0,6700.53661,115937472.0,16400000.0
140,ABW,NAM,10238.19805,1,0,37515112.0,102000000000.0,3452.0,10248.47415,322472288.0,16200000.0
146,ABW,NOR,8240.808438,0,0,182001296.0,82929001771.0,12580.58984,8292.900177,1178571.5,16100000.0
157,ABW,PRK,13996.79206,0,0,38885004.0,141000000000.0,2585.0,14055.0719,924869.0,16100000.0
160,ABW,PYF,9363.776092,0,0,228182800.0,93449950216.0,27540.0,9344.995022,969409.75,16200000.0
162,ABW,REU,14168.52001,0,0,19550126.0,142000000000.0,2837.0,14161.06771,1060752.125,16200000.0
163,ABW,ROM,9448.061215,0,0,6771824.5,95154558291.0,1093.0,9515.455829,1695607.75,16100000.0
174,ABW,SPM,4035.5385929999998,0,0,11045832.0,40243957116.0,924.0269775,4024.3957119999995,761730.625,16200000.0
175,ABW,STP,8558.069203000001,0,0,1700000.0,85581391793.0,326.0,8558.139179,1705488.375,16200000.0
179,ABW,SWE,8587.527722,0,0,1900000.0,87058102799.0,326.0,8705.81028,2110372.5,16000000.0
187,ABW,TKM,12265.08232,0,0,11148161.0,123000000000.0,944.4899902000001,12252.0112,2190977.0,16200000.0
194,ABW,TZA,11986.515870000001,0,0,232957184.0,123000000000.0,27807.0,12261.003990000001,4331447.0,15800000.0
198,ABW,USA,3859.8854229999997,1,0,6984199.5,27730159769.0,1108.0,2773.015977,6357285.5,22500000.0
204,ABW,VUT,13796.53126,1,0,373004000.0,137000000000.0,23847.0,13749.348280000002,39035732.0,16200000.0
375,AFG,AZE,1821.7186800000002,0,0,2300000.0,18178547632.0,333.0,1817.8547629999998,21533926.0,16200000.0
376,AFG,BDI,5849.066546,0,0,439068832.0,59208036308.0,33439.0,5920.803631000001,23068796.0,16000000.0
382,AFG,BHR,1940.4698190000001,0,0,11456798.0,20025727753.0,986.0560303,2002.572775,45468304.0,15700000.0
392,AFG,BWA,7847.0917420000005,0,0,382154464.0,80076921795.0,24433.0,8007.692179000001,252500112.0,15800000.0
405,AFG,CRI,14260.464730000002,0,0,216501600.0,143000000000.0,13658.580080000002,14323.64285,224234032.0,16100000.0
409,AFG,CYP,3172.29943,0,0,34893520.0,32497615749.0,3512.0,3249.761575,273964832.0,15800000.0
417,AFG,DZA,5776.017808,0,0,43049992.0,58417907933.0,2653.0,5841.790793,1385748736.0,16000000.0
427,AFG,FRA,5500.664767,0,0,7780507.5,55805238255.0,1137.0,5580.523825,739851200.0,15900000.0
447,AFG,HKG,4656.973931,0,0,37564856.0,45657576000.0,3532.0,4565.7576,2376373248.0,16500000.0
448,AFG,HND,13928.30575,0,0,19776060.0,141000000000.0,2912.0,14059.30716,2251995648.0,16000000.0
450,AFG,HTI,12769.69132,0,0,232348176.0,128000000000.0,14077.88965,12847.07517,1861629440.0,16100000.0
456,AFG,IRQ,2173.033468,0,0,11368548.0,22846158010.0,1007.1199949999999,2284.6158010000004,31439300.0,15400000.0
